player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Ousmane Dieng,diengou01,2023,RS,OKC,405,190,-2.793485726244092,-2.810500831495895,-5.603986557739988,-.5812889815475506,4.645806066888225,4.064517085340674,-2.464233041066295,-1.415175163946844,-3.87940820501314,-.1083448452463056,-.1083448452463056,0,-4.403716499636605,-2.543116953496568,-6.946833453133173,-1.051380262675602
Spencer Dinwiddie,dinwisp01,2023,RS,DAL,1318,668,2.297524422182573,-1.901528763086143,.3959956590964295,-3.968942750524239,-3.018981147163851,-6.98792389768809,1.116039955058073,-2.26670166909681,-1.150661714038737,.5345531767354329,.5345531767354329,0,1.160869512249096,-1.06270142485976,.0981680873893358,-1.953221544908346
Donte DiVincenzo,divindo01,2023,RS,GSW,527,235,.2317427616394642,4.906804980364181,5.138547742003645,-7.660604258725952,1.915344798170554,-5.745259460555398,-1.359965521401584,4.577071446203658,3.217105924802075,.726603735460305,.726603735460305,0,-.6299650957819314,3.850468230579425,3.220503134797493,1.578985128634165
Luka Doncic,doncilu01,2023,RS,DAL,1512,751,10.2655195955311,-.5459067046422649,9.71961289088884,7.798534458890686,-1.953005095085361,5.845529363805325,10.33331674530182,-.8853740575463217,9.447942687755496,4.694976750812086,4.694976750812086,0,10.29635046867249,.6892382925236228,10.98558876119612,.45914769874391
Tyler Dorsey,dorsety01,2023,RS,DAL,9,4,40.83871868640974,-13.86976755843202,26.96895112797772,-.8496328176194956,-2.096027811967903,-2.945660629587398,34.45209896200581,-12.41854521337987,22.03355374862594,.0514436241695935,.0514436241695935,0,26.62168660447518,-10.98112977563157,15.64055682884361,1.730984701638985
Luguentz Dort,dortlu01,2023,RS,OKC,1444,671,-.4850967643096309,3.641847351154372,3.156750586844741,3.027467127165913,.1662969915803823,3.193764118746296,.2431435096817692,3.150151126840623,3.393294636522393,2.114557792055878,2.114557792055878,0,.0886601043169747,4.350315879762745,4.43897598407972,.5501683499275938
Ayo Dosunmu,dosunay01,2023,RS,CHI,1230,579,-1.847819266797635,.1690145127073157,-1.678804754090319,-5.667450327782744,-5.837718766075792,-11.50516909385854,-2.764851522760214,-1.107772056805218,-3.872623579565432,-.331508901064209,-.331508901064209,0,-3.176270126129238,.188231771285203,-2.988038354844035,-.0367973690408327
Devon Dotson,dotsode01,2023,RS,WAS,41,21,-5.119028285552747,2.84590371872598,-2.273124566826767,1.744692074125571,9.726154866936248,11.47084694106182,-3.941133446235866,4.503238159977972,.562104713742106,.0349061071307885,.0349061071307885,0,-2.250614284390482,4.072265053644172,1.82165076925369,-1.654870574357139
Jeff Dowtin Jr.,dowtije01,2023,RS,TOR,136,64,.7212505435724434,-.3297174398714223,.3915331037010211,.6706833417904738,2.767306675179794,3.437990016970268,.7046668374460836,.2806899368704992,.9853567743165828,.1199383743213,.1199383743213,0,-1.406231647132451,-1.187115382940746,-2.593347030073197,-1.685106580434836
Goran Dragic,dragigo01,2023,RS,CHI,756,352,-.7707148867718687,-1.309316869109846,-2.080031755881715,2.427182930121551,3.383055089724187,5.810238019845738,-.1225727701812634,-.4536850007190314,-.5762577709002947,.3913783414183024,.3913783414183024,0,.0364661692716178,-.6269675845288311,-.5905014152572132,.2578958594291179
Andre Drummond,drumman01,2023,RS,CHI,492,230,-1.790498060530564,-1.356690176543065,-3.147188237073629,-2.014376235033406,-.4312024934627512,-2.445578728496158,-1.922835420621088,-1.249101895558989,-3.171937316180077,-.0497748787473595,-.0497748787473595,0,-2.257758576444669,.8829221626378458,-1.374836413806823,.5358216470896138
Chris Duarte,duartch01,2023,RS,IND,375,177,-1.931599202603997,-.7222458137645016,-2.653845016368499,-3.571706085170611,.8071432753065202,-2.764562809864091,-2.375826149954091,-.4194623716975937,-2.795288521651685,-.0040809753007713,-.0040809753007713,0,-3.868888573975069,-1.123778450912904,-4.992667024887973,-.2182575826864517
David Duke Jr.,dukeda01,2023,RS,BRK,213,101,-3.86037284908386,-3.232013041997868,-7.092385891081728,-9.468654667959331,-.9780369063185949,-10.44669157427793,-5.29484728500583,-2.951993951328815,-8.246841236334646,-.2867703488589282,-.2867703488589282,0,-5.047950169983806,-1.843025067044872,-6.890975237028678,1.256222335249564
Kevin Durant,duranke01,2023,RS,BRK,1735,844,5.451310011009464,-.7525600835743637,4.698749927435101,8.446739254593895,-2.179591602586507,6.267147652007388,6.361863346892991,-1.092967267282749,5.268896079610242,3.486179664976009,3.486179664976009,0,7.477126915888546,-1.256206043086579,6.220920872801967,.9719560841387284
Jalen Duren,durenja01,2023,RS,DET,968,461,-3.28393949618908,.3783810421230384,-2.905558454066041,-2.91298564673721,.9857728271773302,-1.92721281955988,-3.408779944429789,.5971643023265916,-2.811615642103197,-.0143855754791881,-.0143855754791881,0,-3.198797954645202,-.3691845014068542,-3.567982456052056,-.7439175412963076
Tari Eason,easonta01,2023,RS,HOU,835,381,.0217215446665202,1.645853456750134,1.667575001416654,-.0451659316133511,4.192818777103392,4.147652845490041,.0482716609571269,2.342760367015134,2.391032027972261,1.010401779790301,1.010401779790301,0,.7214201597526508,1.744195677852495,2.465615837605146,1.119316312628424
Anthony Edwards,edwaran01,2023,RS,MIN,1718,803,.0658572430362187,-1.454160451666384,-1.388303208630165,4.186707031071382,-2.891781875179373,1.294925155892009,.9833918751819269,-1.835156768535315,-.8517648933533885,.7807795250034121,.7807795250034121,0,1.25678791096695,-1.230541470138398,.0262464408285517,.4020514860436922
Kessler Edwards,edwarke02,2023,RS,BRK,83,38,-5.845697881157855,-3.881525102038946,-9.727222983196802,.6447642360246097,-5.479284990682834,-4.834520754658224,-4.820252149952351,-4.400697353301222,-9.220949503253573,-.1248638190930855,-.1248638190930855,0,-1.457846359204527,-5.259299780587665,-6.717146139792192,-.4777067547062231
Keon Ellis,elliske01,2023,RS,SAC,4,2,-5.908552670270454,-14.944502011418,-20.85305468168846,-33.87224857340504,44.93346797381435,11.06121940040931,-12.12391499568507,-3.395469685096521,-15.5193846807816,-.012867189633249,-.012867189633249,0,-13.59198148416473,-9.55093455772788,-23.14291604189261,-1.263247311764925
Joel Embiid,embiijo01,2023,RS,PHI,999,489,2.50538235419468,4.378484444271503,6.883866798466182,-3.183662696973216,6.124149325403069,2.940486628429853,1.4687088042423,4.94063911971176,6.409347923954059,2.29863680592641,2.29863680592641,0,2.386331205519007,4.453351261108664,6.839682466627671,.5973167806302886
Drew Eubanks,eubandr01,2023,RS,POR,755,368,-1.047293129057851,-.4460097006612984,-1.49330282971915,.5887119613418624,-3.31963478341495,-2.730922822073087,-.7877565214108924,-1.048855957552548,-1.836612478963441,.1704474147825322,.1704474147825322,0,-.7499905327963784,-.6548037500335567,-1.404794282829935,-.616143717653015
Bruno Fernando,fernabr01,2023,RS,HOU,143,68,1.805291405696187,1.610217670097937,3.415509075794124,-7.960496585316872,-3.945315400149343,-11.90581198546622,-.1371379945828038,.6570304937224197,.5198924991396159,.1137853641915733,.1137853641915733,0,-.242056131711719,1.079066824379324,.8370106926676052,.3041346497588245
Dorian Finney-Smith,finnedo01,2023,RS,DAL,1388,698,-2.491801784677603,.8592673319145484,-1.632534452763054,1.957421658705366,-4.529461515844972,-2.572039857139607,-1.706685665541799,-.2250555390959755,-1.931741204637774,.2873058015382914,.2873058015382914,0,-1.625291576420697,.6235647611775742,-1.001726815243122,-1.420810670286413
Malachi Flynn,flynnma01,2023,RS,TOR,348,164,1.759906304946584,-4.147347929055496,-2.387441624108913,3.489506827398986,-4.305070920291246,-.8155640928922603,2.222475090557714,-4.453663473140011,-2.231188382582297,.0432518205999937,.0432518205999937,0,2.409825913824641,-3.54435003764965,-1.134524123825008,-.3696375556580139
Simone Fontecchio,fontesi01,2023,RS,UTA,215,100,.8066978056983083,-7.720730347375045,-6.914032541676736,-6.875835932198855,-9.499866358643237,-16.37570229084209,-.8108135251157393,-8.52353533162651,-9.334348856742249,-.3370765451427837,-.3370765451427837,0,.3873204374153503,-9.807060810431057,-9.419740373015706,.3442586184584054
Bryn Forbes,forbebr01,2023,RS,MIN,264,124,-3.857908516864197,-4.187985074101229,-8.045893590965425,-4.289616470239398,.4285765659761416,-3.861039904263257,-4.143633420160028,-3.448181287506661,-7.591814707666689,-.3066631854750393,-.3066631854750393,0,-4.196907830046118,-4.553052825386096,-8.749960655432213,.1145270898098935
Trent Forrest,forretr01,2023,RS,ATL,131,62,-.8844488940133628,1.107689416034841,.2232405220214777,-1.527800476822564,-1.352971838186107,-2.880772315008671,-1.035699964188733,.639700353876017,-.3959996103127158,.0736438999088156,.0736438999088156,0,-2.091221103196526,-.7520428239297984,-2.843263927126325,-1.112490329281479
Michael Foster Jr.,fostemi02,2023,RS,PHI,2,1,-1.615201082231281,4.480050610328957,2.864849528097676,-65.50885684546083,2.047909020079652,-63.46094782538118,-15.06835606583198,4.290376699130383,-10.7779793667016,-.0039912455609492,-.0039912455609492,0,-12.75259761930048,-1.672010899334548,-14.42460851863502,-2.584485619801565
Evan Fournier,fournev01,2023,RS,NYK,553,260,-2.099028577230189,-2.152425076293,-4.251453653523189,-3.768021834013388,-1.102996896643399,-4.871018730656787,-2.593571728842266,-2.060346126952674,-4.65391785579494,-.2541316194588012,-.2541316194588012,0,-2.047437507170109,-1.584994930289836,-3.632432437459945,.6301778980669646
